obsHistID,filter,FWHMeff,descDitheredRA,descDitheredDec,airmass,fiveSigmaDepth,expMJD,d1,d2,d3,d4
219976,r,0.74897,55.521074405286384,-29.77077244343855,1.18026512434,24.4732093302,59877.150905,1.2967933039921078,2.266791099074178,2.466441151756801,3.0812224913384845
220016,r,0.825079,59.97157138597026,-31.549863693099272,1.17615215839,24.3759622606,59877.169363,3.438486304588419,3.405994706520166,1.7724855193045883,1.7354405527675085
220017,r,0.798936,55.27415791075816,-31.10880078240756,1.11508334406,24.4341060266,59877.16982,0.6312584639473604,1.0847983053405603,2.337642669155142,2.487803786881771
221573,g,0.659665,59.700627177329025,-30.220028650600625,1.1167809145,25.122198452,59879.181284,3.2788815976235535,3.633782958551327,1.6584685366753802,2.299553192633797
221613,g,0.624467,59.18734028663127,-32.303589672593866,1.06646442214,25.1897743104,59879.201109,3.0099460335300647,2.7154522770641005,1.649487940595254,1.0500863092648038
226984,z,0.71172,54.913770872277446,-32.2345482582806,1.24537688283,23.1568369824,59886.113061,1.5426129452838484,0.9494171398988832,2.9034776195198555,2.6243268067652306
226985,z,0.723349,55.7225940416519,-30.576465694951512,1.2801324367,23.1228338573,59886.113508,0.4859756027633598,1.443136160907718,2.0017167908188886,2.4111346321332774
226986,z,0.707797,54.42347575385083,-30.48582377176182,1.23416121439,23.1656493122,59886.113956,1.4492336281229197,2.0271371471507784,3.116471117048876,3.411915673221015
227031,z,0.597328,56.19577247526626,-30.674097703241802,1.17330109053,23.3749018589,59886.136741,0.366699273126368,1.336403638563763,1.5830501591913972,2.03285973640583
227032,z,0.58737,54.3207877366213,-30.439185007238166,1.14055150611,23.4068764472,59886.137189,1.5486662153223467,2.120860283612845,3.2121050783938827,3.5119607094079694
227891,i,0.66827,57.203003757954754,-31.953283276650883,1.05608484455,23.6362664625,59887.175502,1.400476026181515,1.021528325624238,1.1707880203155006,0.6776738717518604
227918,i,0.647507,56.34735632220958,-32.53013718478859,1.02781468583,23.6739877219,59887.18764,1.558373095081389,0.6060656179970586,2.0773388924806477,1.494608998955565
